text,label,notes,source
Most problems on AMD and Linux are the MediaTek wireless card. Just replace it with an Intel AX210.,buying_advice,specific hardware replacement advice,uploaded tech product comments
Just choose AX210 or AX200 and you will not get problems.,buying_advice,specific part recommendation,uploaded tech product comments
"You can always put Windows on it later if you decide you do not like Linux, so it is not a permanent commitment.",buying_advice,advice about OS choice and flexibility,uploaded tech product comments
"Put Bluefin on it, the Framework-specific build, and then you will be set.",buying_advice,specific OS recommendation,uploaded tech product comments
Should not buy if you have a limited budget or need Nvidia-type powerful graphics.,buying_advice,advice about when not to buy,uploaded tech product comments
"If you buy the DIY edition, you put it together once. If you do not want to upgrade or get a lemon, you should not need to take it apart again.",buying_advice,guidance about DIY edition expectations,uploaded tech product comments
32GB is not enough for office use is just insane.,hype_reaction,short shocked reaction without detailed product reasoning,uploaded tech product comments
My users would love me if I rolled out that monitor setup to everyone. Wow.,hype_reaction,quick positive reaction to setup,uploaded tech product comments
I seriously like this person's budget.,hype_reaction,quick reaction to hardware budget,uploaded tech product comments
8% failure rate 1.5 years in and you think the build quality is solid? OK.,hype_reaction,sarcastic reaction to failure rate,uploaded tech product comments
What an enormous pain.,hype_reaction,short negative reaction,uploaded tech product comments
This is like having more money than sense and experience.,hype_reaction,strong reaction without detailed buying guidance,uploaded tech product comments
I want to believe this is real but I do not think it is.,hype_reaction,skeptical reaction without product analysis,uploaded tech product comments
"If they made a 15 inch version, I would buy one. 13 is too small and 16 is too big.",hype_reaction,quick preference reaction about sizes,uploaded tech product comments
What is the benefit here? Not being stuck to OEM? Cost to performance is better? Support is better? Why does someone buy these?,hype_reaction,skeptical questioning reaction without recommendation,uploaded tech product comments
That is not a good endorsement of Framework.,hype_reaction,brief evaluative reaction without detailed evidence,uploaded tech product comments
"I own both an M1 Max MacBook Pro and a Framework 13 AMD. Apple Silicon is really hard to match for battery. The Framework battery is fine, but not exceptional.",hands_on_review,direct comparison from owning both laptops,r/framework
"I have a first year 11th gen i5 Framework with 64GB memory. It is good enough for my work, and being able to add more RAM on a moderate spec machine is a big plus.",hands_on_review,describes direct ownership and use,r/framework
I have a Mac Studio and a Framework. I spend most of my time running Fedora Linux on the Framework and hope to make that my full-time setup someday.,hands_on_review,direct experience with Framework workflow,r/framework
"I have a Framework 13 with the larger battery. Battery life is okay for me, but it is still not on the same level as a MacBook.",hands_on_review,direct experience with battery performance,r/framework
I just put Arch on my Framework 16 and it worked right out of the box with no additional configuration outside of the desktop environment I chose.,hands_on_review,direct setup experience,r/framework
I switched from an M2 MacBook to a Framework and it was a very good decision for me. Fedora with GNOME works smoothly and the repairability gives me peace of mind.,hands_on_review,direct switch experience,r/framework
"I get through about six hours of university work on my Framework. That includes programming, chatting, document reading, and light web browsing.",hands_on_review,direct battery and school use experience,r/framework
"I have both a MacBook and a Framework. The MacBook feels like an absolute unit with amazing speakers and battery life, while the Framework is great because I can reconfigure the ports.",hands_on_review,hands-on comparison of both devices,r/framework
I bought a Framework 13 about a year ago and wish I had stuck with Mac. It took five weeks for them to replace my main board when it failed.,hands_on_review,direct negative ownership experience,r/framework
"My Framework on Linux lasts around three or four hours on battery, but it also drains a lot when the lid is closed. I feel more tied to a power brick than I would like.",hands_on_review,direct battery and sleep behavior experience,r/framework
"I really like my AMD 13 inch Framework. My main complaint is the touchpad, because the MacBook touchpad is much better.",hands_on_review,direct ownership with specific complaint,r/framework
"I am pretty happy with mine. Battery life is not amazing, but it has been powerful enough for gaming, web browsing, and running the occasional server.",hands_on_review,direct experience with performance and battery,r/framework
I have had my Framework apart several times. I upgraded the storage once and replaced the keyboard after wearing it down from typing.,hands_on_review,direct maintenance and upgrade experience,r/framework
"I own the Framework 13 AMD and it is not as polished as the Mac. I have had squeaky keys, trackpad clicking issues, and expansion cards that take force to remove.",hands_on_review,direct ownership with product quality details,r/framework
I had a first generation Framework 13 for a long time before selling it because I did not use a laptop much. The laptop itself was great during the time I used it.,hands_on_review,direct past ownership experience,r/framework
"I run Linux on my Framework 13 for pentesting work, and the experience is solid. Secure boot works, Aurora boots, and the fingerprint sensor works well.",hands_on_review,direct workflow and OS experience,r/framework
I am very happy with my Framework 13. I run Arch Linux on it now and ran Ubuntu before that without any issues.,hands_on_review,direct Linux experience,r/framework
I have the 7840U model and it is a pretty good laptop. My only real complaint is battery life.,hands_on_review,direct product experience with one complaint,r/framework
I am a web developer and love my Framework. I added my own 64GB of RAM and it has been plenty powerful for my use case.,hands_on_review,direct ownership and developer use,r/framework
"I bought the first Framework models available in the UK. It runs Windows and Linux well, and the expansion cards have never given me trouble.",hands_on_review,direct long-term ownership experience,r/framework
"If battery is your top priority and you cannot carry a power bank, you will probably be better off with the MacBook.",buying_advice,recommendation based on priority,r/framework
"I normally recommend the Framework to enthusiasts who want repairability or a Windows and Linux machine, and I recommend the Mac to people who want the best hardware with macOS limitations.",buying_advice,clear recommendation by user type,r/framework
"The reason to get a Mac is software you cannot get on Linux and battery life. If those are what matter most, just get the Mac.",buying_advice,buying recommendation based on needs,r/framework
"If battery life is the number one feature for you, go with the MacBook. If you like Linux and want something repairable, go with Framework.",buying_advice,direct comparison advice,r/framework
"If you do not need a good CPU or GPU but need a lot of storage or RAM, Framework is the better value.",buying_advice,purchase advice based on specs,r/framework
"If you need battery life and a strong price-to-performance ratio, go with the MacBook. If you need Linux and repairability, go with the Framework.",buying_advice,clear conditional buying recommendation,r/framework
Try to source your own SSD at the best possible price because there are a lot of deals out there.,buying_advice,specific purchase strategy,r/framework
"If you want to do OS development, Framework is the way to go because x86 is better documented and MacBooks are locked down.",buying_advice,recommendation based on OS development use case,r/framework
"If local AI is very important to you, check Apple Silicon reviews because unified memory and memory bandwidth matter a lot for that workload.",buying_advice,buying guidance based on AI workload,r/framework
"If your classes require x86 virtual machines, you are probably going to want an x86 system instead of an ARM Mac.",buying_advice,recommendation based on VM compatibility,r/framework
"If you are a cybersecurity student, you should consider leaning into Linux whenever possible because many tools and workflows are built around it.",buying_advice,advice based on student workflow,r/framework
"If you are just studying, either laptop can work. For hobby projects and random peripherals, the Framework will probably make you happier.",buying_advice,conditional buying advice,r/framework
"If you only want to learn Linux, buy a cheap used ThinkPad, install a rolling release distro, and enjoy the ride.",buying_advice,alternative purchase recommendation,r/framework
"If you are already deep in the Apple ecosystem, I suggest staying there. A Windows or Linux machine on the side is fine, but your main driver should probably be Apple.",buying_advice,recommendation based on ecosystem,r/framework
"If you use professional tools like Adobe, Maya, Unity, or Unreal, MacOS or Windows is probably a safer choice because those platforms are better supported.",buying_advice,software compatibility buying advice,r/framework
"If you go for the MacBook, make sure you buy all the RAM and processing cores you will need because you cannot upgrade later.",buying_advice,specific purchase planning advice,r/framework
"For programming and systems work, I would get the Framework running Linux. You will learn more about systems on Linux than on macOS.",buying_advice,direct recommendation based on learning goals,r/framework
"If your coursework has you using Linux locally, get the Framework. Otherwise the MacBook Pro is probably better for coding, papers, and videos.",buying_advice,conditional recommendation for school use,r/framework
"If you need to run lots of x86 virtual machines, you probably want an x86 laptop rather than relying on ARM virtualization.",buying_advice,VM-focused purchase guidance,r/framework
"If you do actual work where render or compile time matters, get the MacBook. If performance is not critical, the Framework is better for long-term ownership.",buying_advice,recommendation by workload priority,r/framework
"MacBook, not even close.",hype_reaction,quick strong preference without explanation,r/framework
Framework is great on all but battery.,hype_reaction,brief opinion without much detail,r/framework
"Apple Silicon is cool, but I could not care less until proper Linux drivers and sources are released.",hype_reaction,strong reaction with little buying explanation,r/framework
"The MacBook is way more powerful, has infinitely better battery life, better build quality, incomparable speakers, and a better screen.",hype_reaction,strong broad comparison without detailed support,r/framework
"If you are even asking this question, you should not buy the Framework.",hype_reaction,confident quick opinion,r/framework
MacBook it is for you.,hype_reaction,short reaction-style conclusion,r/framework
No laptop has the performance and efficiency of MacBooks.,hype_reaction,broad claim without detailed support,r/framework
Apple's efficiency is still god-tier.,hype_reaction,quick praise without analysis,r/framework
Best laptop purchase I have ever made.,hype_reaction,brief praise without product details,r/framework
Almost perfect except the bad battery life.,hype_reaction,short emotional product summary,r/framework
"No, it is not an alternative.",hype_reaction,brief strong claim without details,r/framework
Definitely MacBook if you want battery life with performance.,hype_reaction,quick strong preference with minimal reasoning,r/framework
The value is insane.,hype_reaction,short excitement statement,r/framework
Freedom to repair versus freedom to repay.,hype_reaction,slogan-like reaction,r/framework
MacBook is better value in my opinion.,hype_reaction,brief opinion without detailed reasoning,r/framework
MacBook all day.,hype_reaction,short strong preference,r/framework
"Framework is technically the weaker option, but the right one.",hype_reaction,broad value judgment,r/framework
"I have seen the light, and it is translucent purple.",hype_reaction,playful emotional reaction,r/framework
The Framework is a hacker's dream because of how customizable it is.,hype_reaction,broad enthusiastic claim,r/framework
The MacBook Pro is an absolute beast and will probably last a good five to ten years.,hype_reaction,strong product praise without detailed evidence,r/framework
I have a Logitech MX vertical and my starting carpal tunnel went away after about one month of usage.,hands_on_review,direct experience with ergonomic mouse improving wrist pain,r/BuyItForLife
The vertical mouse is weird to get used to but it has definitely helped with my carpal tunnel.,hands_on_review,direct use experience with ergonomic mouse,r/BuyItForLife
I got a used Kindle Paperwhite ten years ago and it is still going strong.,hands_on_review,long term ownership experience with e-reader durability,r/BuyItForLife
I have been using Calibre with my Kindle lately and it is revolutionary. It is very easy to convert books into Kindle format and transfer them to the device.,hands_on_review,direct experience using Kindle software workflow,r/BuyItForLife
"I have had a pair of Sennheiser HD 580 since 1999. Over the years I have replaced the cups and cable a few times, but I feel lucky to get over 20 years of use.",hands_on_review,long term headphone ownership with repair details,r/BuyItForLife
I am still using my Audio-Technica ATH-AD700 that I bought 14 years ago.,hands_on_review,long term ownership experience with headphones,r/BuyItForLife
I bought a soundproofed dishwasher and it was a game changer because our dishwasher is in our main living area.,hands_on_review,direct appliance ownership experience with noise benefit,r/BuyItForLife
I bought a Roomba 4 years ago and my house has been swept almost every day since.,hands_on_review,direct robot vacuum ownership experience over time,r/BuyItForLife
"I have only needed to use my dashcam once, but it gave my insurance company a slam dunk when I got hit by someone who ran a red light.",hands_on_review,direct dashcam ownership with real incident outcome,r/BuyItForLife
I bought a Shark cordless vacuum used on Facebook Marketplace several months ago and my wife uses it on a daily basis and loves it.,hands_on_review,direct cordless vacuum ownership and daily use,r/BuyItForLife
Wired Ethernet. You will see improved speed and reliability for decades.,buying_advice,clear recommendation based on speed and reliability,r/BuyItForLife
"Health related stuff if you use your PC a lot: ergonomic chair, adjustable desk, ergo mouse.",buying_advice,recommendation for computer setup health products,r/BuyItForLife
"Never buy a gaming chair. A good, solid ergonomic office chair is worth its weight in gold and will last for years.",buying_advice,direct advice to avoid gaming chairs and choose office chairs,r/BuyItForLife
E-readers. I got a Kobo because the software is more open and you can put your own books on it from the computer.,buying_advice,recommendation with reason about open software and file transfer,r/BuyItForLife
"If you do any kind of maintenance on your devices, you need a precision screwdriver and bit set.",buying_advice,recommendation for repair toolkit based on device maintenance,r/BuyItForLife
Get a micro SD to USB-C adapter so you can quickly transfer dashcam video to your phone if you need to send it out quickly.,buying_advice,specific accessory recommendation for dashcam workflow,r/BuyItForLife
"Anker anything. I love their laptop charging bricks, and their 65W charger is amazing and tiny.",buying_advice,brand and product recommendation based on charger usefulness,r/BuyItForLife
"Buy Bose, Sony, or Sennheiser for quality headphones and buy replacement earpads to extend the life of them.",buying_advice,headphone buying advice with maintenance tip,r/BuyItForLife
Do not buy the latest and greatest smartphone or tech unless it is a job requirement. One or two years of age will greatly lower the price.,buying_advice,recommendation to buy slightly older tech for value,r/BuyItForLife
"If you are in front of your computer all day, do not skimp on a monitor. A good monitor is the real deal.",buying_advice,recommendation to prioritize monitor quality for daily computer use,r/BuyItForLife
Steam Deck. Well built and incredible.,hype_reaction,quick positive product reaction with little detail,r/BuyItForLife
KOSS Porta Pro headphones. A true classic.,hype_reaction,short praise reaction without detailed reasoning,r/BuyItForLife
Robot vacuum. Saves time on cleaning and keeps your place clean.,hype_reaction,quick positive reaction to product usefulness,r/BuyItForLife
A mechanical keyboard. Even an entry-level one will make a huge difference.,hype_reaction,quick enthusiasm about keyboard upgrade,r/BuyItForLife
Dyson cordless vacuum. Worth every penny.,hype_reaction,short value reaction without much detail,r/BuyItForLife
Powerbank that charges laptop. Game changer for me when traveling around a lot.,hype_reaction,quick excitement about laptop power bank usefulness,r/BuyItForLife
"Totally agree, wired is the way.",hype_reaction,short agreement and quick product stance,r/BuyItForLife
A solid sound system. Nothing compares to being surrounded by music without it having to be loud.,hype_reaction,enthusiastic reaction to sound system value,r/BuyItForLife
"Kindle. Reliable, durable, and they save so much money.",hype_reaction,quick praise of product value and durability,r/BuyItForLife
Soundbar for TV. I got a Sonos Beam 2. Sound is amazing. I no longer need subtitles.,hype_reaction,excited reaction to soundbar improvement,r/BuyItForLife
"This is like my office. 60-70 people, and we build our own desktops. Most systems are Ryzen 5900x or 5950x, 64GB ram, 3x32in 4k monitors. 3060 or 3070GPUs. Your choice of keyboard and mouse. Lots of us are rocking keychrons and MX Masters lol.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"How do you ensure that you get exactly the same parts for every desktop? That's my issue with assembling machines from parts for office use--it's hard to get identical hardware. If you just need one of something and/or have very unusual needs, it can make sense, but otherwise I'd rather buy from someone who can ensure that the machine that I buy six months from now is identical to the one that I bought yesterday. I can think of no worse nightmare than an office full of slightly-different machines, each with its own weird quirks.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"Our office is entirely 34"" curved widescreens. The Australasian Nvidia guys came in to chat about the usual AI stuff, and were very jealous of our (very basic) setup.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
I seriously like this person's budget. I think quite a few of my users would be ecstatic to get 32Gb machines. 5 Member team for 100 users. My last place was 25 for 3k users.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"32GB isn't enough RAM? Wow. I mean, I have 32 in my work laptop, most users have 16, a few old laptops have 8, but still work. My home PC has 96, so maybe I haven't been keeping track of how ram hungry modern apps are. Come to think of it, modern Microsoft apps are web pages in a wrapper, so it makes sense. Is 32GB RAM not enough now days? 32 would be the max I gave my users, unless they had a specific use case, which they don't.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"I've never had a problem with 16GB in a laptop personally for office work, but I appreciate some people do heavier things than me. In my previous job they were still handing out 4GB laptops until about 2021 when we scrapped some and upgraded the rest to 8GB. New ones were all purchased with 8GB until late 2021 and that was slightly insufficient for office work.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
My Dell XPS 9510 has its WLAN card soldered to the board. Several other XPS laptops also have soldered WLAN cards. And it doesn't help that the Intel Extreme cards in those laptops are hot ass,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"""A little over a year ago, we were in a position where the laptops that had been emergency bought and shuffled out for COVID-19 was starting to show their age, mainly because RAM was only 32 GB"" Me, looking around at our 8 GB desktops and thinking how lucky we were to get the NEW 16 GB laptops....",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
Recent RAM and storage prices have skyrocketed the system cost. They were much much less when we bought them. Here's a system we bought in May 2025: Swedish Kronor - Divide by 9 to get USD.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"Yeah, Framework doesn't belong in a professional setting. SMB at most. Youtuber homelabs is where they shine. People like Wendell or Vates simp Tom Lawrence will love that shit. Not something I'll ever consider and push to my enterprise/users.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"Well, the memory leaks in 3rd party software are a thing we sometimes have to deal with. It's why my work laptop went from 16->32. If it's a tool most of the company is using, I can see just making 32GB a standard to avoid frequent interruptions. But I think overall you are right about choosing FW over another large enterprise provider. The economics of price/unit might be competitive but the back end IT costs of hand repairs, variable fleet configuration, etc is a major concern. OP appears to be Swedish, so maybe there is some local consideration that changes the economic calculus enough to justify those overheads.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"I have the OG Framework Laptop (no further suffix to the name, it was the only one at the time) and aside from the fan being loud and having absolutely zero wifi reception with the lid closed I'm happy. I did get a 250GB ssd module later.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
My users would murder me if their webcam and mic don't work. But that's good to see.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
We’re seeing more and more webcam/mic issues on Dell laptops. In a few cases Dell has replaced the parts and mobo with no resolution. We’ve had to either take advantage of the accidental coverage or spend a lot of time pushing our rep to replace the unit. It’s become quite the pain.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
We ordered 400 laptops from Dell last refresh cycle. We had none dead out of the box and so far have not had to submit any warranty claims (over a year into the cycle now) for hardware issues (we’ve had a few damage issues but that’s unrelated to build quality). I can’t image the headache of having to service ~30 of those already just a year into ownership. That’s one every other week.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"In my experience, it's feast or famine with Dell. Some models are rock solid and will last way past their expected life. Some start failing at 10s of percents within 18 months. Sometimes it's the same model bought a year apart.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"We had some latitude model back in 2021 or 2022 that was a disaster. Lots of issues and the most common was the USB-C port failing which was the only one on that model and how the user connected to their dock. It was a disaster having to constantly return them, it reached a point where we never had spares in inventory. Every other model we've had has been very reliable though, to your point.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"Yeah, don't want to jinx anything but currently we have about 50 laptops deployed that we got in 2024 and have yet to have a single failure. That mixed with the fact that i know they will correct it makes it a no brainer for me to stick with them.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
Dell have extremely weird firmware issues in my experience.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
We have recently started buying dell laptops instead of HP and they have been... not great. As you said just lots of little weird/random problems that we just generally weren't having to deal with on the HP machines,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"You are right on with the parts. My company was coming out with a new product and they wanted to use some dell mini towers built to a specific spec with specific components.. I told em not to do it and explained that Dells are built with whatever hardware they purchased for a batch or batchs. Sure enough machines ordered 2 months apart had wildly different hardware. MB's RAM SSD's etc.. Our product was locked to only run on specific hardware. Caused a huge headache for the devs and tech support. I just sat back and said ""I told ya so""",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"with the network issues I had the opposite issue. I've had two out of six new Max Pro 14s come in with NIC issues where download speeds were 8-20 and upload was normal 900 (tested on three different ports and three different cables). When docked it was normal. I could just ignore as our people either use docks or wifi but it really feels more of a point of ""it shouldn't happen to begin with, fix your shit""",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"Hm I wonder how that compares to an actual business class warranty with NBD or best effort on-site support. Well worth the cost, IMO. When we have issues with Dell or Lenovo, we typically have the part on-site and installed by a OEM contracted technician in under a week.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
Our 1000 Dell XPS 13 + with their failure rate of 14% in the first 3 months and a further 6% in the next 9 months begs to differ. We literally had a Dell tech in our office more than our actual IT staff. Just a total poo storm. Dell offered us a partial refund to try and keep our business going forward. Let’s just say we our a mixed Mac and Lenovo with an aging Dell house now.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
conversely we bought 10 last round and 3 have been continuous problems from day 1 and Dell has run us around till the warranty is almost out. we no longer buy dells.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"My org switched to Dells because with HP we had an even worse failure rate than this. Like 30 to 40 percent. For reference, we had an order of about 200 HPs at one point that was so bad we recalled all the ones we deployed and returned all 200 to HP after only a month. They sent replacements which were better but many of them still had intermittent issues. That was when we just stopped buying HP completely. That was only a little over a year ago. Dell has been rock solid but if Framwork can continue to improve I could see going that route someday.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"With Framework the components can be easily swapped out and do not require the whole laptop to be shipped out or repaired by an authorized technician. I get that, but even just now I ordered Lenovo x1 2 in 1's for $1500 a pop with 3 year on site service with accidental coverage. (i5/16gb/512gb and in the USA for service) I just spec'd out a Framework 13 with the base processor and similar ram/storage, windows license, and power supply like I would get from Lenovo, and its about the same. $1435 I'm a solo admin, so the on site is my choice vs me having to swap components. I don't have time for that.",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
I've swapped my whole company (small business so not that wild) to Lenovo and it's been great personally.,hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"It's a LOB system within logistics - Naming it would likely dox me, but there's a few known memory leaks for some functions (Primarily accounting) and our users don't shut down their systems. It's been discontinued and we're going to switch next year. If you let it run it will approx take up 1GB ram a day and never release it. So with users only rebooting once a month on patch tuesday, it becomes a problem. It was cheaper (until recently, because apparently we need AI videos of presidents scoring hockey goals and punching CA Hockey players) just to buy RAM and never have to hear the complaints. :)",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
"per system. that wouldn't have been approved then for me either. it would have been like ""can't you just restart a service via task scheduler or some shit"" and we would have had to figure a software fix of some kind or demand resolution from the software company per contract. it's just weird to brute force things like that with money instead of some other option. I have a shitty ancient erp with a memory leak issue with the client, AND a camera monitoring client with the same issue. we did not get new RAM. one was resolved with an email telling users to restart their shit",hands_on_review,direct product or setup experience with specific details,uploaded public tech discussion
Glad things are working out for you. We trialed them and have decided to go with something else.,buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"Some Dell precision units have this, and 7000 series latitudes I managed to get a precision with a wlan card that didn’t have Bluetooth. No usb-a ports. Why was this even an option??",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"LOL we cant get a sample size of 10 or 20 from dell or lenovo and not get 2 or 3 fails. I'd love an 8% fail rate with parts i could replace myself instead of battling dell ""welp it passed the hardware test this timeafter 10 fails, reload it""<click> on every 4th machine.",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
Just went into the parts builder and this isn't really cheap. It doesn't really seem worth it to pay this much to not even really get a discount over something manufactured w/ full blown support with next business day service.,buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"If they made a 15 "" I would buy one. 13 is too small and 16 is too big.",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"the staffing seems high to me, what if you had one fewer support FTE and instead bought Dell laptops, would that be cheaper for the company?",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"It should be noted that 8% being 6 means the sample size is 75, which is pretty small for this sort of thing.",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"There is a tradeoff though. When a traditional laptop has a component that fails, that feature is usually either out for the remainder of that laptop’s lifecycle or it is repaired under warranty. With Framework the components can be easily swapped out and do not require the whole laptop to be shipped out or repaired by an authorized technician.",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
Yer the issue here is they cant test the individual units before shipping. Someone like dell will do a basic system check to make sure those things are working... i'm not surprised tbh. but yer... rough.,buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
why fix a known issue when you can just throw thousands in RAM in every system?,buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"IDK why but this reminded me of the ""Dropbox gave me an ulcer"" story where the dev team needed 4 TB of storage on their laptops and the guy was confused as to why because they pay for cloud storage.",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
I get it. but it is amusing that the best solution is a new fleet of machines Guess there was a reason it was discontinued,buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"I regularly have to tell people to reboot devices and even when it’s for a good cause people complain. So i get it. Sometimes it IS easier to get new equipment lol. Especially if something is old and has issues I can either recommend spending money to fix an issue, or spend money and get a new laptop, people like upgrades more, usually",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"Absolutely. But changing ERP isn't an easy task. Buying RAM is. (Then again the ERP Vendor said fuck off and discontinued the system anyway, so I'll have to do both but oh well that's life)",buying_advice,"recommendation, comparison, or purchase guidance",uploaded public tech discussion
"If you wait for reviews from others and then buy it is all based on the batch system. Some people did that last year and ended up waiting until late last year to get theirs (this was the desktop). On the FW12 side though, they waited and later received it only a month or two later but memory prices starting really going up then, so they lost out on that aspect.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
Depends on how many have been sold out by then. The hype might not die down for a while. I preordered two days after the launch video and batches 1 through 7 were already all gone. You can probably expect the 2-3 month lead time to hold true.,buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"If you want to do OSdev, Framework is the way to go. If you get a Macbook you won't be able to test your OS on real hardware, as Macbooks are insanely locked down. It's also a tad hard to install cross-compile toolchains on macos, don't get me started on their outdated llvm mess. (+ x64 is way better documented than arm atm, so you will have a easier time)",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"So, I've just got to know that there will be a lot of high-end servers at the university which I can SSH into and run the OS code, which I know will not be the same as running native. How difficult will it be to cross-compile or to run x86 code on MacOs? Will it be an set it up once and forget it about kind of headache or a constant pain that will keep coming back?",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"If you want to run any kind of x86 code, you'll have to stick with Tahoe or the version after it. After that, the x86 emulator is going away.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"If it’s for school you need to talk to the teachers or IT (or however else will know) about what operating systems they support for required software you’ll be using during classes, such as for tests or homework, or in class. That should collapse your choices nicely",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"If you are working on toy OSes just for learning, you'll want to do it in a VM anyways, so it doesn't really matter. If you want to do significant development on Linux, eg writing a new driver for an actual device, you can't do that on a Mac. Otherwise yes, the M5 will be much faster (not just for LLM inference, but also for regular CPU/GPU tasks). Also much better battery life, as well as being cheaper.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
